Day ,Pageviews
1/1/15,11713.00
1/2/15,15698.00
1/3/15,10998.00
1/4/15,12116.00
1/5/15,18035.00
1/6/15,13159.00
1/7/15,13481.00
1/8/15,14593.00
1/9/15,12649.00
1/10/15,9363.00
1/11/15,12920.00
1/12/15,18081.00
1/13/15,14494.00
1/14/15,15333.00
1/15/15,15309.00
1/16/15,11722.00
1/17/15,8497.00
1/18/15,10745.00
1/19/15,16967.00
1/20/15,15551.00
1/21/15,12390.00
1/22/15,16443.00
1/23/15,12712.00
1/24/15,10717.00
1/25/15,12134.00
1/26/15,17386.00
1/27/15,16487.00
1/28/15,14467.00
1/29/15,16920.00
1/30/15,13351.00
1/31/15,9778.00
2/1/15,9523.00
2/2/15,15104.00
2/3/15,14797.00
2/4/15,13251.00
2/5/15,15850.00
2/6/15,16210.00
2/7/15,12281.00
2/8/15,12551.00
2/9/15,17849.00
2/10/15,15583.00
2/11/15,14644.00
2/12/15,15270.00
2/13/15,13909.00
2/14/15,9607.00
2/15/15,11651.00
2/16/15,19060.00
2/17/15,17164.00
2/18/15,15714.00
2/19/15,17913.00
2/20/15,15345.00
2/21/15,12544.00
2/22/15,12831.00
2/23/15,18668.00
2/24/15,15620.00
2/25/15,15145.00
2/26/15,16578.00
2/27/15,12985.00
2/28/15,9702.00
3/1/15,11270.00
3/2/15,18973.00
3/3/15,15240.00
3/4/15,15665.00
3/5/15,19179.00
3/6/15,13181.00
3/7/15,9424.00
3/8/15,13059.00
3/9/15,19333.00
3/10/15,15450.00
3/11/15,14717.00
3/12/15,15874.00
3/13/15,12262.00
3/14/15,8684.00
3/15/15,11928.00
3/16/15,18950.00
3/17/15,16165.00
3/18/15,15751.00
3/19/15,18623.00
3/20/15,13946.00
3/21/15,11352.00
3/22/15,12605.00
3/23/15,19287.00
3/24/15,17477.00
3/25/15,18363.00
3/26/15,19900.00
3/27/15,15453.00
3/28/15,12128.00
3/29/15,14082.00
3/30/15,23031.00
3/31/15,18462.00
4/1/15,17211.00
4/2/15,19945.00
4/3/15,16117.00
4/4/15,12730.00
4/5/15,15459.00
4/6/15,20629.00
4/7/15,17625.00
4/8/15,17664.00
4/9/15,15598.00
4/10/15,15133.00
4/11/15,12907.00
4/12/15,14964.00
4/13/15,19376.00
4/14/15,16758.00
4/15/15,16141.00
4/16/15,17375.00
4/17/15,15326.00
4/18/15,14237.00
4/19/15,17195.00
4/20/15,25936.00
4/21/15,22053.00
4/22/15,19726.00
4/23/15,20642.00
4/24/15,16772.00
4/25/15,14479.00
4/26/15,17793.00
4/27/15,23470.00
4/28/15,19757.00
4/29/15,18568.00
4/30/15,19122.00
5/1/15,19830.00
5/2/15,14110.00
5/3/15,15156.00
5/4/15,21967.00
5/5/15,19128.00
5/6/15,17567.00
5/7/15,19570.00
5/8/15,18020.00
5/9/15,13582.00
5/10/15,14500.00
5/11/15,21258.00
5/12/15,19844.00
5/13/15,21066.00
5/14/15,23829.00
5/15/15,19870.00
5/16/15,13144.00
5/17/15,15626.00
5/18/15,21680.00
5/19/15,17221.00
5/20/15,17664.00
5/21/15,21802.00
5/22/15,20639.00
5/23/15,15308.00
5/24/15,16720.00
5/25/15,23987.00
5/26/15,24425.00
5/27/15,22663.00
5/28/15,22266.00
5/29/15,16830.00
5/30/15,15605.00
5/31/15,15158.00
6/1/15,23664.00
6/2/15,19668.00
6/3/15,18615.00
6/4/15,20001.00
6/5/15,25701.00
6/6/15,18153.00
6/7/15,19682.00
6/8/15,31036.00
6/9/15,22070.00
6/10/15,21262.00
6/11/15,21924.00
6/12/15,16920.00
6/13/15,18163.00
6/14/15,20510.00
6/15/15,29116.00
6/16/15,24467.00
6/17/15,20559.00
6/18/15,21036.00
6/19/15,16664.00
6/20/15,14737.00
6/21/15,18665.00
6/22/15,25934.00
6/23/15,23231.00
6/24/15,20817.00
6/25/15,22909.00
6/26/15,17884.00
6/27/15,11278.00
6/28/15,16985.00
6/29/15,26827.00
6/30/15,22186.00
7/1/15,23509.00
7/2/15,18192.00
7/3/15,15469.00
7/4/15,12866.00
7/5/15,15312.00
7/6/15,22128.00
7/7/15,20533.00
7/8/15,17407.00
7/9/15,18565.00
7/10/15,15543.00
7/11/15,13466.00
7/12/15,16668.00
7/13/15,22700.00
7/14/15,20090.00
7/15/15,20636.00
7/16/15,20973.00
7/17/15,15908.00
7/18/15,13157.00
7/19/15,15603.00
7/20/15,22868.00
7/21/15,21079.00
7/22/15,20164.00
7/23/15,20873.00
7/24/15,19532.00
7/25/15,13432.00
7/26/15,16606.00
7/27/15,23525.00
7/28/15,22320.00
7/29/15,26014.00
7/30/15,29072.00
7/31/15,17390.00
8/1/15,14349.00
8/2/15,16850.00
8/3/15,23168.00
8/4/15,20583.00
8/5/15,20170.00
8/6/15,22470.00
8/7/15,19012.00
8/8/15,14236.00
8/9/15,19078.00
8/10/15,30128.00
8/11/15,23115.00
8/12/15,19711.00
8/13/15,20904.00
8/14/15,17466.00
8/15/15,14329.00
8/16/15,16188.00
8/17/15,25964.00
8/18/15,24465.00
8/19/15,20562.00
8/20/15,22385.00
8/21/15,18234.00
8/22/15,14054.00
8/23/15,18287.00
8/24/15,23989.00
8/25/15,20862.00
8/26/15,21776.00
8/27/15,26534.00
8/28/15,19972.00
8/29/15,14990.00
8/30/15,17950.00
8/31/15,26510.00
9/1/15,21939.00
9/2/15,21006.00
9/3/15,23317.00
9/4/15,19055.00
9/5/15,15082.00
9/6/15,17855.00
9/7/15,22588.00
9/8/15,22794.00
9/9/15,22051.00
9/10/15,21215.00
9/11/15,16166.00
9/12/15,13991.00
9/13/15,15900.00
9/14/15,24592.00
